,a,b,c,d,e
71,SECTION,21,20,1,0
72,CLICK,21.283,20.283,0.28,0
73,CLICK,21.283,20.283,0.7,0
74,CLICK,21.771447,20.771447,0.71,0
75,CLICK,21.773634,20.773634,0.28,0
76,SECTION,22,21,1,1
77,CLICK,22.393336,21.393336,0.68,0
78,CLICK,22.395316,21.395316,0.18,0
79,CLICK,22.643359,21.643359,0.84,0
80,CLICK,22.647849,21.647849,0.36,0
81,CLICK,22.856309,21.856309,0.18,0
82,CLICK,22.856378,21.856378,0.68,0
83,SECTION,23,22,1,0
84,HOLD,23.434558,22.434558,0.65,0.5
85,HOLD,23.436746,22.436746,0.32,0.5
86,SECTION,24,23,1,1
87,CLICK,24.367185,23.367185,0.23,0
88,CLICK,24.37058,23.37058,0.68,0
89,CLICK,24.682537,23.682537,0.23,0
90,CLICK,24.958694,23.958694,0.23,0
91,SECTION,25,24,1,0
92,HOLD,25.408,24.408,0.29,0.5
93,HOLD,25.408,24.408,0.64,0.5
94,SECTION,26,25,1,1
95,SECTION,27,26,1,0
96,CLICK,27.02972,26.02972,0.26,0
97,CLICK,27.327142,26.327142,0.75,0
98,SECTION,28,27,1,1
99,CLICK,28.343592,27.343592,0.29,0
100,CLICK,28.613325,27.613325,0.73,0
101,CLICK,28.819573,27.819573,0.29,0
102,CLICK,28.948949,27.948949,0.71,0
103,SECTION,29,28,1,0
104,CLICK,29.283,28.283,0.7,0
105,CLICK,29.283,28.283,0.28,0
106,CLICK,29.55925,28.55925,0.71,0
107,CLICK,29.576751,28.576751,0.28,0
108,SECTION,30,29,1,1
109,CLICK,30.129192,29.129192,0.81,0
110,CLICK,30.129561,29.129561,0.2,0
111,CLICK,30.57299,29.57299,0.64,0
112,CLICK,30.579299,29.579299,0.36,0
113,CLICK,30.856308,29.856308,0.36,0
114,CLICK,30.856377,29.856377,0.62,0
115,SECTION,31,30,1,0
116,CLICK,31.158,30.158,0.75,0
117,CLICK,31.158,30.158,0.22,0
118,HOLD,31.533,30.533,0.22,0.5
119,HOLD,31.533,30.533,0.75,0.5
120,SECTION,32,31,1,1
121,CLICK,32.587689,31.58769,0.48,0
122,SECTION,33,32,1,0
123,CLICK,33.033,32.033,0.25,0
124,CLICK,33.033,32.033,0.72,0
125,CLICK,33.683433,32.683433,0.73,0
126,CLICK,33.694255,32.694255,0.26,0
127,SECTION,34,33,1,1
128,HOLD,34.158,33.158,0.23,0.375
129,HOLD,34.158,33.158,0.78,0.375
130,CLICK,34.783,33.783,0.63,0
131,CLICK,34.783,33.783,0.41,0
132,SECTION,35,34,1,0
133,CLICK,35.125186,34.125186,0.76,0
134,CLICK,35.131749,34.131749,0.24,0
135,CLICK,35.386124,34.386124,0.24,0
136,CLICK,35.394874,34.394874,0.77,0
137,SECTION,36,35,1,1
138,CLICK,36.584948,35.584948,0.29,0
139,CLICK,36.820338,35.820338,0.71,0
140,CLICK,36.82629,35.82629,0.29,0
141,SECTION,37,36,1,0
142,CLICK,37.140684,36.140684,0.71,0
143,CLICK,37.408,36.408,0.71,0
144,SECTION,38,37,1,1
145,HOLD,38.04274,37.04274,0.23,0.625
146,HOLD,38.051398,37.051398,0.8,0.625
147,CLICK,38.694797,37.694797,0.61,0
148,CLICK,38.696961,37.696961,0.4,0
149,SECTION,39,38,1,0
150,HOLD,39.224558,38.224558,0.23,0.25
151,HOLD,39.239709,38.239709,0.8,0.25
152,CLICK,39.826831,38.826831,0.4,0
153,CLICK,39.83549,38.83549,0.61,0
154,SECTION,40,39,1,1
155,DRAG,40.533,39.533,0.43,1
156,DRAG,40.533,39.533,0.6,2
157,DRAG,40.783,39.783,0.8,2
158,DRAG,40.783,39.783,0.24,1
159,SECTION,41,40,1,0
160,CLICK,41.28787,40.28787,0.39,0
161,CLICK,41.298693,40.298693,0.62,0
162,SECTION,42,41,1,1
163,CLICK,42.723476,41.723476,0.3,0
164,CLICK,42.996094,41.996094,0.3,0
165,SECTION,43,42,1,0
166,CLICK,43.214277,42.214277,0.7,0
167,CLICK,43.553022,42.553022,0.7,0
168,SECTION,44,43,1,1
169,CLICK,44.533,43.533,0.5,0
170,CLICK,44.850099,43.850099,0.5,0
171,SECTION,45,44,1,0
172,HOLD,45.033,44.033,0.68,0.75
173,HOLD,45.033,44.033,0.36,0.75
174,SECTION,46,45,1,1
175,CLICK,46.408,45.408,0.33,0
176,CLICK,46.683433,45.683433,0.67,0
177,CLICK,46.899884,45.899884,0.33,0
178,SECTION,47,46,1,0
179,CLICK,47.194794,46.194794,0.67,0
180,SECTION,48,47,1,1
181,HOLD,48.003906,47.003906,0.62,0.625
182,HOLD,48.003906,47.003906,0.29,0.625
183,SECTION,49,48,1,0
184,DRAG,49.019058,48.019058,0.3,1
185,DRAG,49.025424,48.025424,0.63,2
186,DRAG,49.530294,48.530294,0.3,1
187,DRAG,49.530294,48.530294,0.63,2
188,SECTION,50,49,1,1
189,CLICK,50.003906,49.003906,0.63,0
190,CLICK,50.003906,49.003906,0.3,0
191,SECTION,51,50,1,0
192,CLICK,51.350641,50.350641,0.6,0
193,CLICK,51.350641,50.350641,0.35,0
194,CLICK,51.726182,50.726182,0.2,0
195,CLICK,51.728346,50.728346,0.79,0
196,SECTION,52,51,1,1
197,HOLD,52.361463,51.361463,0.59,0.5
198,HOLD,52.361463,51.361463,0.38,0.5
199,SECTION,53,52,1,0
200,SECTION,54,53,1,1
201,CLICK,54.095229,53.095229,0.71,0
202,CLICK,54.101722,53.101722,0.27,0
203,CLICK,54.464277,53.464277,0.59,0
204,CLICK,54.466442,53.466442,0.38,0
205,CLICK,54.770554,53.770554,0.38,0
206,CLICK,54.774883,53.774883,0.59,0
207,SECTION,55,54,1,0
208,CLICK,55.062762,54.062762,0.58,0
209,CLICK,55.084407,54.084407,0.37,0
210,CLICK,55.578996,54.578996,0.59,0
211,CLICK,55.585489,54.585489,0.38,0
212,CLICK,55.783,54.783,0.73,0
213,CLICK,55.783,54.783,0.25,0
214,SECTION,56,55,1,1
215,SECTION,57,56,1,0
216,DRAG,57.033,56.033,0.62,2
217,DRAG,57.033,56.033,0.41,1
218,DRAG,57.283,56.283,0.27,1
219,DRAG,57.283,56.283,0.76,2
220,DRAG,57.533,56.533,0.43,1
221,DRAG,57.533,56.533,0.64,2
222,SECTION,58,57,1,1
223,HOLD,58.158,57.158,0.66,0.375
224,HOLD,58.158,57.158,0.33,0.375
225,SECTION,59,58,1,0
226,CLICK,59.140684,58.140684,0.32,0
227,SECTION,60,59,1,1
228,CLICK,60.033,59.033,0.3,0
229,CLICK,60.033,59.033,0.68,0
230,CLICK,60.283,59.283,0.29,0
231,CLICK,60.283,59.283,0.67,0
232,SECTION,61,60,1,0
233,CLICK,61.140684,60.140684,0.32,0
234,SECTION,62,61,1,1
235,CLICK,62.033,61.033,0.3,0
236,CLICK,62.033,61.033,0.68,0
237,CLICK,62.283,61.283,0.29,0
238,CLICK,62.283,61.283,0.67,0
239,SECTION,63,62,1,0
240,CLICK,63.140684,62.140684,0.32,0
241,SECTION,64,63,1,1
242,CLICK,64.158,63.158,0.31,0
243,CLICK,64.158,63.158,0.65,0
244,CLICK,64.321961,63.321961,0.72,0
245,CLICK,64.533,63.533,0.74,0
246,CLICK,64.739709,63.739709,0.7,0
247,SECTION,65,64,1,0
248,CLICK,65.112545,64.112545,0.68,0
249,CLICK,65.11471,64.11471,0.27,0
250,CLICK,65.571961,64.571961,0.27,0
251,CLICK,65.574126,64.574126,0.68,0
252,SECTION,66,65,1,1
253,HOLD,66.158,65.158,0.76,0.625
254,HOLD,66.158,65.158,0.2,0.625
255,SECTION,67,66,1,0
256,HOLD,67.158,66.158,0.37,0.625
257,HOLD,67.158,66.158,0.58,0.625
258,SECTION,68,67,1,1
259,HOLD,68.158,67.158,0.2,0.625
260,HOLD,68.158,67.158,0.76,0.625
261,SECTION,69,68,1,0
262,HOLD,69.158,68.158,0.37,0.625
263,HOLD,69.158,68.158,0.58,0.625
264,SECTION,70,69,1,1
265,CLICK,70.203996,69.203996,0.71,0
266,CLICK,70.203996,69.203996,0.24,0
267,CLICK,70.455619,69.455619,0.71,0
268,CLICK,70.459948,69.459948,0.24,0
269,CLICK,70.720771,69.720771,0.71,0
270,CLICK,70.722935,69.722935,0.24,0
271,SECTION,71,70,1,0
272,CLICK,71.203996,70.203996,0.24,0
273,CLICK,71.203996,70.203996,0.71,0
274,CLICK,71.455618,70.455618,0.71,0
275,CLICK,71.459947,70.459947,0.24,0
276,CLICK,71.72077,70.72077,0.71,0
277,CLICK,71.722935,70.722935,0.24,0
278,SECTION,72,71,1,1
279,HOLD,72.158,71.158,0.58,0.5
280,HOLD,72.158,71.158,0.34,0.5
281,SECTION,73,72,1,0
282,CLICK,73.158,72.158,0.65,0
283,CLICK,73.158,72.158,0.31,0
284,CLICK,73.321961,72.321961,0.72,0
285,CLICK,73.533,72.533,0.74,0
286,CLICK,73.739708,72.739708,0.7,0
287,SECTION,74,73,1,1
288,HOLD,74.318172,73.318172,0.68,0.5
289,HOLD,74.320338,73.320338,0.27,0.5
290,SECTION,75,74,1,0
291,HOLD,75.283,74.283,0.58,0.5
292,HOLD,75.283,74.283,0.4,0.5
293,SECTION,76,75,1,1
294,HOLD,76.318172,75.318172,0.68,0.5
295,HOLD,76.320338,75.320338,0.27,0.5
296,SECTION,77,76,1,0
297,HOLD,77.283,76.283,0.4,0.5
298,HOLD,77.283,76.283,0.58,0.5
299,SECTION,78,77,1,1
300,CLICK,78.203996,77.203996,0.71,0
301,CLICK,78.203996,77.203996,0.24,0
302,CLICK,78.455618,77.455618,0.71,0
303,CLICK,78.459947,77.459947,0.24,0
304,CLICK,78.72077,77.72077,0.71,0
305,CLICK,78.722935,77.722935,0.24,0
306,SECTION,79,78,1,0
307,CLICK,79.203996,78.203996,0.24,0
308,CLICK,79.203996,78.203996,0.71,0
309,CLICK,79.455618,78.455618,0.71,0
310,CLICK,79.459946,78.459946,0.24,0
311,CLICK,79.72077,78.72077,0.71,0
312,CLICK,79.722935,78.722935,0.24,0
313,SECTION,80,79,1,1
314,HOLD,80.158,79.158,0.34,0.5
315,HOLD,80.158,79.158,0.58,0.5
316,SECTION,81,80,1,0
317,CLICK,81.003906,80.003906,0.65,0
318,CLICK,81.003906,80.003906,0.31,0
319,CLICK,81.213735,80.213735,0.72,0
320,CLICK,81.457242,80.457242,0.74,0
321,CLICK,81.687759,80.687759,0.7,0
322,CLICK,81.908,80.908,0.63,0
323,SECTION,82,81,1,1
324,SECTION,83,82,1,4
